"","ensembl_gene_id","hgnc_symbol","description","gene_biotype"
"8044","ENSG00000141668","CBLN2","cerebellin 2 precursor","protein_coding"
"8045","ENSG00000141682","PMAIP1","phorbol-12-myristate-13-acetate-induced protein 1","protein_coding"
"8046","ENSG00000141696","P3H4","prolyl 3-hydroxylase family member 4 (inactive)","protein_coding"
"8047","ENSG00000141698","NT5C3B","5'-nucleotidase, cytosolic IIIB","protein_coding"
"8048","ENSG00000141699","RETREG3","reticulophagy regulator family member 3","protein_coding"
"8049","ENSG00000141736","ERBB2","erb-b2 receptor tyrosine kinase 2","protein_coding"
"8050","ENSG00000141738","GRB7","growth factor receptor bound protein 7","protein_coding"
"8051","ENSG00000141741","MIEN1","migration and invasion enhancer 1","protein_coding"
"8052","ENSG00000141744","PNMT","phenylethanolamine N-methyltransferase","protein_coding"
"8053","ENSG00000141748","ARL5C","ADP ribosylation factor like GTPase 5C","protein_coding"
"8054","ENSG00000141750","STAC2","SH3 and cysteine rich domain 2","protein_coding"
"8055","ENSG00000141753","IGFBP4","insulin like growth factor binding protein 4","protein_coding"
"8056","ENSG00000141756","FKBP10","FKBP prolyl isomerase 10","protein_coding"
"8057","ENSG00000141759","TXNL4A","thioredoxin like 4A","protein_coding"
"8058","ENSG00000141837","CACNA1A","calcium voltage-gated channel subunit alpha1 A","protein_coding"
"8059","ENSG00000141854","MISP3","MISP family member 3","protein_coding"
"8060","ENSG00000141858","SAMD1","sterile alpha motif domain containing 1","protein_coding"
"8061","ENSG00000141867","BRD4","bromodomain containing 4","protein_coding"
"8062","ENSG00000141873","SLC39A3","solute carrier family 39 member 3","protein_coding"
"8063","ENSG00000141905","NFIC","nuclear factor I C","protein_coding"
"8064","ENSG00000141933","TPGS1","tubulin polyglutamylase complex subunit 1","protein_coding"
"8065","ENSG00000141934","PLPP2","phospholipid phosphatase 2","protein_coding"
"8066","ENSG00000141946","ZIM3","zinc finger imprinted 3","protein_coding"
"8067","ENSG00000141956","PRDM15","PR/SET domain 15","protein_coding"
"8068","ENSG00000141959","PFKL","phosphofructokinase, liver type","protein_coding"
"8069","ENSG00000141965","FEM1A","fem-1 homolog A","protein_coding"
"8070","ENSG00000141968","VAV1","vav guanine nucleotide exchange factor 1","protein_coding"
"8071","ENSG00000141971","MVB12A","multivesicular body subunit 12A","protein_coding"
"8072","ENSG00000141977","CIB3","calcium and integrin binding family member 3","protein_coding"
"8073","ENSG00000141979","","novel protein","protein_coding"
"8074","ENSG00000141985","SH3GL1","SH3 domain containing GRB2 like 1, endophilin A2","protein_coding"
"8075","ENSG00000141994","DUS3L","dihydrouridine synthase 3 like","protein_coding"
"8076","ENSG00000142002","DPP9","dipeptidyl peptidase 9","protein_coding"
"8077","ENSG00000142025","DMRTC2","DMRT like family C2","protein_coding"
"8078","ENSG00000142039","CCDC97","coiled-coil domain containing 97","protein_coding"
"8079","ENSG00000142046","TMEM91","transmembrane protein 91","protein_coding"
"8080","ENSG00000142065","ZFP14","ZFP14 zinc finger protein","protein_coding"
"8081","ENSG00000142082","SIRT3","sirtuin 3","protein_coding"
"8082","ENSG00000142089","IFITM3","interferon induced transmembrane protein 3","protein_coding"
"8083","ENSG00000142102","PGGHG","protein-glucosylgalactosylhydroxylysine glucosidase","protein_coding"
"8084","ENSG00000142149","HUNK","hormonally up-regulated Neu-associated kinase","protein_coding"
"8085","ENSG00000142156","COL6A1","collagen type VI alpha 1 chain","protein_coding"
"8086","ENSG00000142166","IFNAR1","interferon alpha and beta receptor subunit 1","protein_coding"
"8087","ENSG00000142168","SOD1","superoxide dismutase 1","protein_coding"
"8088","ENSG00000142173","COL6A2","collagen type VI alpha 2 chain","protein_coding"
"8089","ENSG00000142178","SIK1","salt inducible kinase 1","protein_coding"
"8090","ENSG00000142182","DNMT3L","DNA methyltransferase 3 like","protein_coding"
"8091","ENSG00000142185","TRPM2","transient receptor potential cation channel subfamily M member 2","protein_coding"
"8092","ENSG00000142186","SCYL1","SCY1 like pseudokinase 1","protein_coding"
"8093","ENSG00000142188","TMEM50B","transmembrane protein 50B","protein_coding"
"8094","ENSG00000142192","APP","amyloid beta precursor protein","protein_coding"
"8095","ENSG00000142197","DOP1B","DOP1 leucine zipper like protein B","protein_coding"
"8096","ENSG00000142207","URB1","URB1 ribosome biogenesis homolog","protein_coding"
"8097","ENSG00000142208","AKT1","AKT serine/threonine kinase 1","protein_coding"
"8098","ENSG00000142224","IL19","interleukin 19","protein_coding"
"8099","ENSG00000142227","EMP3","epithelial membrane protein 3","protein_coding"
"8100","ENSG00000142230","SAE1","SUMO1 activating enzyme subunit 1","protein_coding"
"8101","ENSG00000142233","NTN5","netrin 5","protein_coding"
"8102","ENSG00000142235","LMTK3","lemur tyrosine kinase 3","protein_coding"
"8103","ENSG00000142252","GEMIN7","gem nuclear organelle associated protein 7","protein_coding"
"8104","ENSG00000142273","CBLC","Cbl proto-oncogene C","protein_coding"
"8105","ENSG00000142279","WTIP","WT1 interacting protein","protein_coding"
"8106","ENSG00000142303","ADAMTS10","ADAM metallopeptidase with thrombospondin type 1 motif 10","protein_coding"
"8107","ENSG00000142319","SLC6A3","solute carrier family 6 member 3","protein_coding"
"8108","ENSG00000142327","RNPEPL1","arginyl aminopeptidase like 1","protein_coding"
"8109","ENSG00000142330","CAPN10","calpain 10","protein_coding"
"8110","ENSG00000142347","MYO1F","myosin IF","protein_coding"
"8111","ENSG00000142396","ERVK3-1","endogenous retrovirus group K3 member 1","protein_coding"
"8112","ENSG00000142405","NLRP12","NLR family pyrin domain containing 12","protein_coding"
"8113","ENSG00000142408","CACNG8","calcium voltage-gated channel auxiliary subunit gamma 8","protein_coding"
"8114","ENSG00000142409","ZNF787","zinc finger protein 787","protein_coding"
"8115","ENSG00000142444","TIMM29","translocase of inner mitochondrial membrane 29","protein_coding"
"8116","ENSG00000142449","FBN3","fibrillin 3","protein_coding"
"8117","ENSG00000142453","CARM1","coactivator associated arginine methyltransferase 1","protein_coding"
"8118","ENSG00000142459","EVI5L","ecotropic viral integration site 5 like","protein_coding"
"8119","ENSG00000142484","TM4SF5","transmembrane 4 L six family member 5","protein_coding"
"8120","ENSG00000142494","SLC47A1","solute carrier family 47 member 1","protein_coding"
"8121","ENSG00000142507","PSMB6","proteasome 20S subunit beta 6","protein_coding"
"8122","ENSG00000142511","GPR32","G protein-coupled receptor 32","protein_coding"
"8123","ENSG00000142512","SIGLEC10","sialic acid binding Ig like lectin 10","protein_coding"
"8124","ENSG00000142513","ACP4","acid phosphatase 4","protein_coding"
"8125","ENSG00000142515","KLK3","kallikrein related peptidase 3","protein_coding"
"8126","ENSG00000142528","ZNF473","zinc finger protein 473","protein_coding"
"8127","ENSG00000142530","GARIN5A","golgi associated RAB2 interactor 5A","protein_coding"
"8128","ENSG00000142534","RPS11","ribosomal protein S11","protein_coding"
"8129","ENSG00000142538","PTH2","parathyroid hormone 2","protein_coding"
"8130","ENSG00000142539","","novel protein","protein_coding"
"8131","ENSG00000142541","RPL13A","ribosomal protein L13a","protein_coding"
"8132","ENSG00000142544","CTU1","cytosolic thiouridylase subunit 1","protein_coding"
"8133","ENSG00000142546","NOSIP","nitric oxide synthase interacting protein","protein_coding"
"8134","ENSG00000142549","IGLON5","IgLON family member 5","protein_coding"
"8135","ENSG00000142552","RCN3","reticulocalbin 3","protein_coding"
"8136","ENSG00000142556","ZNF614","zinc finger protein 614","protein_coding"
"8137","ENSG00000142583","SLC2A5","solute carrier family 2 member 5","protein_coding"
"8138","ENSG00000142599","RERE","arginine-glutamic acid dipeptide repeats","protein_coding"
"8139","ENSG00000142606","MMEL1","membrane metalloendopeptidase like 1","protein_coding"
"8140","ENSG00000142609","CFAP74","cilia and flagella associated protein 74","protein_coding"
"8141","ENSG00000142611","PRDM16","PR/SET domain 16","protein_coding"
"8142","ENSG00000142615","CELA2A","chymotrypsin like elastase 2A","protein_coding"
"8143","ENSG00000142619","PADI3","peptidyl arginine deiminase 3","protein_coding"
"8144","ENSG00000142621","FHAD1","forkhead associated phosphopeptide binding domain 1","protein_coding"
"8145","ENSG00000142623","PADI1","peptidyl arginine deiminase 1","protein_coding"
"8146","ENSG00000142627","EPHA2","EPH receptor A2","protein_coding"
"8147","ENSG00000142632","ARHGEF19","Rho guanine nucleotide exchange factor 19","protein_coding"
"8148","ENSG00000142634","EFHD2","EF-hand domain family member D2","protein_coding"
"8149","ENSG00000142655","PEX14","peroxisomal biogenesis factor 14","protein_coding"
"8150","ENSG00000142657","PGD","phosphogluconate dehydrogenase","protein_coding"
"8151","ENSG00000142661","MYOM3","myomesin 3","protein_coding"
"8152","ENSG00000142669","SH3BGRL3","SH3 domain binding glutamate rich protein like 3","protein_coding"
"8153","ENSG00000142675","CNKSR1","connector enhancer of kinase suppressor of Ras 1","protein_coding"
"8154","ENSG00000142676","RPL11","ribosomal protein L11","protein_coding"
"8155","ENSG00000142677","IL22RA1","interleukin 22 receptor subunit alpha 1","protein_coding"
"8156","ENSG00000142684","ZNF593","zinc finger protein 593","protein_coding"
"8157","ENSG00000142686","C1orf216","chromosome 1 open reading frame 216","protein_coding"
"8158","ENSG00000142687","KIAA0319L","KIAA0319 like","protein_coding"
"8159","ENSG00000142694","EVA1B","eva-1 homolog B","protein_coding"
"8160","ENSG00000142698","C1orf94","chromosome 1 open reading frame 94","protein_coding"
"8161","ENSG00000142700","DMRTA2","DMRT like family A2","protein_coding"
"8162","ENSG00000142731","PLK4","polo like kinase 4","protein_coding"
"8163","ENSG00000142733","MAP3K6","mitogen-activated protein kinase kinase kinase 6","protein_coding"
"8164","ENSG00000142748","FCN3","ficolin 3","protein_coding"
"8165","ENSG00000142751","GPN2","GPN-loop GTPase 2","protein_coding"
"8166","ENSG00000142765","SYTL1","synaptotagmin like 1","protein_coding"
"8167","ENSG00000142784","WDTC1","WD and tetratricopeptide repeats 1","protein_coding"
"8168","ENSG00000142789","CELA3A","chymotrypsin like elastase 3A","protein_coding"
"8169","ENSG00000142794","NBPF3","NBPF member 3","protein_coding"
"8170","ENSG00000142798","HSPG2","heparan sulfate proteoglycan 2","protein_coding"
"8171","ENSG00000142856","ITGB3BP","integrin subunit beta 3 binding protein","protein_coding"
"8172","ENSG00000142864","SERBP1","SERPINE1 mRNA binding protein 1","protein_coding"
"8173","ENSG00000142867","BCL10","BCL10 immune signaling adaptor","protein_coding"
"8174","ENSG00000142871","CCN1","cellular communication network factor 1","protein_coding"
"8175","ENSG00000142875","PRKACB","protein kinase cAMP-activated catalytic subunit beta","protein_coding"
"8176","ENSG00000142892","PIGK","phosphatidylinositol glycan anchor biosynthesis class K","protein_coding"
"8177","ENSG00000142910","TINAGL1","tubulointerstitial nephritis antigen like 1","protein_coding"
"8178","ENSG00000142920","AZIN2","antizyme inhibitor 2","protein_coding"
"8179","ENSG00000142937","RPS8","ribosomal protein S8","protein_coding"
"8180","ENSG00000142945","KIF2C","kinesin family member 2C","protein_coding"
"8181","ENSG00000142949","PTPRF","protein tyrosine phosphatase receptor type F","protein_coding"
"8182","ENSG00000142959","BEST4","bestrophin 4","protein_coding"
"8183","ENSG00000142961","MOB3C","MOB kinase activator 3C","protein_coding"
"8184","ENSG00000142973","CYP4B1","cytochrome P450 family 4 subfamily B member 1","protein_coding"
"8185","ENSG00000143001","TMEM61","transmembrane protein 61","protein_coding"
"8186","ENSG00000143006","DMRTB1","DMRT like family B with proline rich C-terminal 1","protein_coding"
"8187","ENSG00000143013","LMO4","LIM domain only 4","protein_coding"
"8188","ENSG00000143028","SYPL2","synaptophysin like 2","protein_coding"
"8189","ENSG00000143032","BARHL2","BarH like homeobox 2","protein_coding"
"8190","ENSG00000143033","MTF2","metal response element binding transcription factor 2","protein_coding"
"8191","ENSG00000143036","SLC44A3","solute carrier family 44 member 3","protein_coding"
"8192","ENSG00000143061","IGSF3","immunoglobulin superfamily member 3","protein_coding"
"8193","ENSG00000143067","ZNF697","zinc finger protein 697","protein_coding"
"8194","ENSG00000143079","CTTNBP2NL","CTTNBP2 N-terminal like","protein_coding"
"8195","ENSG00000143093","STRIP1","striatin interacting protein 1","protein_coding"
"8196","ENSG00000143105","KCNA10","potassium voltage-gated channel subfamily A member 10","protein_coding"
"8197","ENSG00000143106","PSMA5","proteasome 20S subunit alpha 5","protein_coding"
"8198","ENSG00000143107","FNDC7","fibronectin type III domain containing 7","protein_coding"
"8199","ENSG00000143110","C1orf162","chromosome 1 open reading frame 162","protein_coding"
"8200","ENSG00000143119","CD53","CD53 molecule","protein_coding"
"8201","ENSG00000143125","PROK1","prokineticin 1","protein_coding"
"8202","ENSG00000143126","CELSR2","cadherin EGF LAG seven-pass G-type receptor 2","protein_coding"
"8203","ENSG00000143127","ITGA10","integrin subunit alpha 10","protein_coding"
"8204","ENSG00000143147","GPR161","G protein-coupled receptor 161","protein_coding"
"8205","ENSG00000143149","ALDH9A1","aldehyde dehydrogenase 9 family member A1","protein_coding"
"8206","ENSG00000143153","ATP1B1","ATPase Na+/K+ transporting subunit beta 1","protein_coding"
"8207","ENSG00000143155","TIPRL","TOR signaling pathway regulator","protein_coding"
"8208","ENSG00000143156","NME7","NME/NM23 family member 7","protein_coding"
"8209","ENSG00000143157","POGK","pogo transposable element derived with KRAB domain","protein_coding"
"8210","ENSG00000143158","MPC2","mitochondrial pyruvate carrier 2","protein_coding"
"8211","ENSG00000143162","CREG1","cellular repressor of E1A stimulated genes 1","protein_coding"
"8212","ENSG00000143164","DCAF6","DDB1 and CUL4 associated factor 6","protein_coding"
"8213","ENSG00000143167","GPA33","glycoprotein A33","protein_coding"
"8214","ENSG00000143171","RXRG","retinoid X receptor gamma","protein_coding"
"8215","ENSG00000143178","TBX19","T-box transcription factor 19","protein_coding"
"8216","ENSG00000143179","UCK2","uridine-cytidine kinase 2","protein_coding"
"8217","ENSG00000143183","TMCO1","transmembrane and coiled-coil domains 1","protein_coding"
"8218","ENSG00000143184","XCL1","X-C motif chemokine ligand 1","protein_coding"
"8219","ENSG00000143185","XCL2","X-C motif chemokine ligand 2","protein_coding"
"8220","ENSG00000143190","POU2F1","POU class 2 homeobox 1","protein_coding"
"8221","ENSG00000143194","MAEL","maelstrom spermatogenic transposon silencer","protein_coding"
"8222","ENSG00000143195","ILDR2","immunoglobulin like domain containing receptor 2","protein_coding"
"8223","ENSG00000143196","DPT","dermatopontin","protein_coding"
"8224","ENSG00000143198","MGST3","microsomal glutathione S-transferase 3","protein_coding"
"8225","ENSG00000143199","ADCY10","adenylate cyclase 10","protein_coding"
"8226","ENSG00000143207","COP1","COP1 E3 ubiquitin ligase","protein_coding"
"8227","ENSG00000143217","NECTIN4","nectin cell adhesion molecule 4","protein_coding"
"8228","ENSG00000143222","UFC1","ubiquitin-fold modifier conjugating enzyme 1","protein_coding"
"8229","ENSG00000143224","PPOX","protoporphyrinogen oxidase","protein_coding"
"8230","ENSG00000143226","FCGR2A","Fc gamma receptor IIa","protein_coding"
"8231","ENSG00000143228","NUF2","NUF2 component of NDC80 kinetochore complex","protein_coding"
"8232","ENSG00000143248","RGS5","regulator of G protein signaling 5","protein_coding"
"8233","ENSG00000143252","SDHC","succinate dehydrogenase complex subunit C","protein_coding"
"8234","ENSG00000143256","PFDN2","prefoldin subunit 2","protein_coding"
"8235","ENSG00000143257","NR1I3","nuclear receptor subfamily 1 group I member 3","protein_coding"
"8236","ENSG00000143258","USP21","ubiquitin specific peptidase 21","protein_coding"
"8237","ENSG00000143278","F13B","coagulation factor XIII B chain","protein_coding"
"8238","ENSG00000143294","PRCC","proline rich mitotic checkpoint control factor","protein_coding"
"8239","ENSG00000143297","FCRL5","Fc receptor like 5","protein_coding"
"8240","ENSG00000143303","METTL25B","methyltransferase like 25B","protein_coding"
"8241","ENSG00000143314","MRPL24","mitochondrial ribosomal protein L24","protein_coding"
"8242","ENSG00000143315","PIGM","phosphatidylinositol glycan anchor biosynthesis class M","protein_coding"
"8243","ENSG00000143318","CASQ1","calsequestrin 1","protein_coding"
"8244","ENSG00000143319","ISG20L2","interferon stimulated exonuclease gene 20 like 2","protein_coding"
"8245","ENSG00000143320","CRABP2","cellular retinoic acid binding protein 2","protein_coding"
"8246","ENSG00000143321","HDGF","heparin binding growth factor","protein_coding"
"8247","ENSG00000143322","ABL2","ABL proto-oncogene 2, non-receptor tyrosine kinase","protein_coding"
"8248","ENSG00000143324","XPR1","xenotropic and polytropic retrovirus receptor 1","protein_coding"
"8249","ENSG00000143333","RGS16","regulator of G protein signaling 16","protein_coding"
"8250","ENSG00000143337","TOR1AIP1","torsin 1A interacting protein 1","protein_coding"
"8251","ENSG00000143340","FAM163A","family with sequence similarity 163 member A","protein_coding"
"8252","ENSG00000143341","HMCN1","hemicentin 1","protein_coding"
"8253","ENSG00000143344","RGL1","ral guanine nucleotide dissociation stimulator like 1","protein_coding"
"8254","ENSG00000143353","LYPLAL1","lysophospholipase like 1","protein_coding"
"8255","ENSG00000143355","LHX9","LIM homeobox 9","protein_coding"
"8256","ENSG00000143363","PRUNE1","prune exopolyphosphatase 1","protein_coding"
"8257","ENSG00000143365","RORC","RAR related orphan receptor C","protein_coding"
"8258","ENSG00000143367","TUFT1","tuftelin 1","protein_coding"
"8259","ENSG00000143368","SF3B4","splicing factor 3b subunit 4","protein_coding"
"8260","ENSG00000143369","ECM1","extracellular matrix protein 1","protein_coding"
"8261","ENSG00000143373","ZNF687","zinc finger protein 687","protein_coding"
"8262","ENSG00000143374","TARS2","threonyl-tRNA synthetase 2, mitochondrial","protein_coding"
"8263","ENSG00000143375","CGN","cingulin","protein_coding"
"8264","ENSG00000143376","SNX27","sorting nexin 27","protein_coding"
"8265","ENSG00000143379","SETDB1","SET domain bifurcated histone lysine methyltransferase 1","protein_coding"
"8266","ENSG00000143382","ADAMTSL4","ADAMTS like 4","protein_coding"
"8267","ENSG00000143384","MCL1","MCL1 apoptosis regulator, BCL2 family member","protein_coding"
"8268","ENSG00000143387","CTSK","cathepsin K","protein_coding"
"8269","ENSG00000143390","RFX5","regulatory factor X5","protein_coding"
"8270","ENSG00000143393","PI4KB","phosphatidylinositol 4-kinase beta","protein_coding"
"8271","ENSG00000143398","PIP5K1A","phosphatidylinositol-4-phosphate 5-kinase type 1 alpha","protein_coding"
"8272","ENSG00000143401","ANP32E","acidic nuclear phosphoprotein 32 family member E","protein_coding"
"8273","ENSG00000143409","MINDY1","MINDY lysine 48 deubiquitinase 1","protein_coding"
"8274","ENSG00000143412","ANXA9","annexin A9","protein_coding"
"8275","ENSG00000143416","SELENBP1","selenium binding protein 1","protein_coding"
"8276","ENSG00000143418","CERS2","ceramide synthase 2","protein_coding"
"8277","ENSG00000143420","ENSA","endosulfine alpha","protein_coding"
"8278","ENSG00000143434","SEMA6C","semaphorin 6C","protein_coding"
"8279","ENSG00000143436","MRPL9","mitochondrial ribosomal protein L9","protein_coding"
"8280","ENSG00000143437","ARNT","aryl hydrocarbon receptor nuclear translocator","protein_coding"
"8281","ENSG00000143442","POGZ","pogo transposable element derived with ZNF domain","protein_coding"
"8282","ENSG00000143443","C1orf56","chromosome 1 open reading frame 56","protein_coding"
"8283","ENSG00000143450","OAZ3","ornithine decarboxylase antizyme 3","protein_coding"
"8284","ENSG00000143452","HORMAD1","HORMA domain containing 1","protein_coding"
"8285","ENSG00000143457","GOLPH3L","golgi phosphoprotein 3 like","protein_coding"
"8286","ENSG00000143458","GABPB2","GA binding protein transcription factor subunit beta 2","protein_coding"
"8287","ENSG00000143469","SYT14","synaptotagmin 14","protein_coding"
"8288","ENSG00000143473","KCNH1","potassium voltage-gated channel subfamily H member 1","protein_coding"
"8289","ENSG00000143476","DTL","denticleless E3 ubiquitin protein ligase homolog","protein_coding"
"8290","ENSG00000143479","DYRK3","dual specificity tyrosine phosphorylation regulated kinase 3","protein_coding"
"8291","ENSG00000143486","EIF2D","eukaryotic translation initiation factor 2D","protein_coding"
"8292","ENSG00000143493","INTS7","integrator complex subunit 7","protein_coding"
"8293","ENSG00000143494","VASH2","vasohibin 2","protein_coding"
"8294","ENSG00000143498","TAF1A","TATA-box binding protein associated factor, RNA polymerase I subunit A","protein_coding"
"8295","ENSG00000143499","SMYD2","SET and MYND domain containing 2","protein_coding"
"8296","ENSG00000143502","SUSD4","sushi domain containing 4","protein_coding"
"8297","ENSG00000143507","DUSP10","dual specificity phosphatase 10","protein_coding"
"8298","ENSG00000143512","HHIPL2","HHIP like 2","protein_coding"
"8299","ENSG00000143514","TP53BP2","tumor protein p53 binding protein 2","protein_coding"
"8300","ENSG00000143515","ATP8B2","ATPase phospholipid transporting 8B2","protein_coding"
"8301","ENSG00000143520","FLG2","filaggrin 2","protein_coding"
"8302","ENSG00000143536","CRNN","cornulin","protein_coding"
"8303","ENSG00000143537","ADAM15","ADAM metallopeptidase domain 15","protein_coding"
"8304","ENSG00000143543","JTB","jumping translocation breakpoint","protein_coding"
"8305","ENSG00000143545","RAB13","RAB13, member RAS oncogene family","protein_coding"
"8306","ENSG00000143546","S100A8","S100 calcium binding protein A8","protein_coding"
"8307","ENSG00000143549","TPM3","tropomyosin 3","protein_coding"
"8308","ENSG00000143552","NUP210L","nucleoporin 210 like","protein_coding"
"8309","ENSG00000143553","SNAPIN","SNAP associated protein","protein_coding"
"8310","ENSG00000143554","SLC27A3","solute carrier family 27 member 3","protein_coding"
"8311","ENSG00000143556","S100A7","S100 calcium binding protein A7","protein_coding"
"8312","ENSG00000143569","UBAP2L","ubiquitin associated protein 2 like","protein_coding"
"8313","ENSG00000143570","SLC39A1","solute carrier family 39 member 1","protein_coding"
"8314","ENSG00000143575","HAX1","HCLS1 associated protein X-1","protein_coding"
"8315","ENSG00000143578","CREB3L4","cAMP responsive element binding protein 3 like 4","protein_coding"
"8316","ENSG00000143590","EFNA3","ephrin A3","protein_coding"
"8317","ENSG00000143595","AQP10","aquaporin 10","protein_coding"
"8318","ENSG00000143603","KCNN3","potassium calcium-activated channel subfamily N member 3","protein_coding"
"8319","ENSG00000143612","C1orf43","chromosome 1 open reading frame 43","protein_coding"
"8320","ENSG00000143614","GATAD2B","GATA zinc finger domain containing 2B","protein_coding"
"8321","ENSG00000143621","ILF2","interleukin enhancer binding factor 2","protein_coding"
"8322","ENSG00000143622","RIT1","Ras like without CAAX 1","protein_coding"
"8323","ENSG00000143624","INTS3","integrator complex subunit 3","protein_coding"
"8324","ENSG00000143627","PKLR","pyruvate kinase L/R","protein_coding"
"8325","ENSG00000143630","HCN3","hyperpolarization activated cyclic nucleotide gated potassium channel 3","protein_coding"
"8326","ENSG00000143631","FLG","filaggrin","protein_coding"
"8327","ENSG00000143632","ACTA1","actin alpha 1, skeletal muscle","protein_coding"
"8328","ENSG00000143633","C1orf131","chromosome 1 open reading frame 131","protein_coding"
"8329","ENSG00000143641","GALNT2","polypeptide N-acetylgalactosaminyltransferase 2","protein_coding"
"8330","ENSG00000143643","TTC13","tetratricopeptide repeat domain 13","protein_coding"
"8331","ENSG00000143653","SCCPDH","saccharopine dehydrogenase (putative)","protein_coding"
"8332","ENSG00000143669","LYST","lysosomal trafficking regulator","protein_coding"
"8333","ENSG00000143674","MAP3K21","mitogen-activated protein kinase kinase kinase 21","protein_coding"
"8334","ENSG00000143702","CEP170","centrosomal protein 170","protein_coding"
"8335","ENSG00000143727","ACP1","acid phosphatase 1","protein_coding"
"8336","ENSG00000143740","SNAP47","synaptosome associated protein 47","protein_coding"
"8337","ENSG00000143742","SRP9","signal recognition particle 9","protein_coding"
"8338","ENSG00000143748","NVL","nuclear VCP like","protein_coding"
"8339","ENSG00000143751","SDE2","SDE2 telomere maintenance homolog","protein_coding"
"8340","ENSG00000143753","DEGS1","delta 4-desaturase, sphingolipid 1","protein_coding"
"8341","ENSG00000143756","FBXO28","F-box protein 28","protein_coding"
"8342","ENSG00000143761","ARF1","ADP ribosylation factor 1","protein_coding"
"8343","ENSG00000143768","LEFTY2","left-right determination factor 2","protein_coding"
"8344","ENSG00000143771","CNIH4","cornichon family AMPA receptor auxiliary protein 4","protein_coding"
"8345","ENSG00000143772","ITPKB","inositol-trisphosphate 3-kinase B","protein_coding"
"8346","ENSG00000143774","GUK1","guanylate kinase 1","protein_coding"
"8347","ENSG00000143776","CDC42BPA","CDC42 binding protein kinase alpha","protein_coding"
"8348","ENSG00000143786","CNIH3","cornichon family AMPA receptor auxiliary protein 3","protein_coding"
"8349","ENSG00000143793","C1orf35","chromosome 1 open reading frame 35","protein_coding"
"8350","ENSG00000143797","MBOAT2","membrane bound O-acyltransferase domain containing 2","protein_coding"
"8351","ENSG00000143799","PARP1","poly(ADP-ribose) polymerase 1","protein_coding"
"8352","ENSG00000143801","PSEN2","presenilin 2","protein_coding"
"8353","ENSG00000143811","PYCR2","pyrroline-5-carboxylate reductase 2","protein_coding"
"8354","ENSG00000143815","LBR","lamin B receptor","protein_coding"
"8355","ENSG00000143816","WNT9A","Wnt family member 9A","protein_coding"
"8356","ENSG00000143819","EPHX1","epoxide hydrolase 1","protein_coding"
"8357","ENSG00000143839","REN","renin","protein_coding"
"8358","ENSG00000143842","SOX13","SRY-box transcription factor 13","protein_coding"
"8359","ENSG00000143845","ETNK2","ethanolamine kinase 2","protein_coding"
"8360","ENSG00000143847","PPFIA4","PTPRF interacting protein alpha 4","protein_coding"
"8361","ENSG00000143850","PLEKHA6","pleckstrin homology domain containing A6","protein_coding"
"8362","ENSG00000143851","PTPN7","protein tyrosine phosphatase non-receptor type 7","protein_coding"
"8363","ENSG00000143858","SYT2","synaptotagmin 2","protein_coding"
"8364","ENSG00000143862","ARL8A","ADP ribosylation factor like GTPase 8A","protein_coding"
"8365","ENSG00000143867","OSR1","odd-skipped related transcription factor 1","protein_coding"
"8366","ENSG00000143869","GDF7","growth differentiation factor 7","protein_coding"
"8367","ENSG00000143870","PDIA6","protein disulfide isomerase family A member 6","protein_coding"
"8368","ENSG00000143878","RHOB","ras homolog family member B","protein_coding"
"8369","ENSG00000143882","ATP6V1C2","ATPase H+ transporting V1 subunit C2","protein_coding"
"8370","ENSG00000143889","HNRNPLL","heterogeneous nuclear ribonucleoprotein L like","protein_coding"
"8371","ENSG00000143891","GALM","galactose mutarotase","protein_coding"
"8372","ENSG00000143919","CAMKMT","calmodulin-lysine N-methyltransferase","protein_coding"
"8373","ENSG00000143921","ABCG8","ATP binding cassette subfamily G member 8","protein_coding"
"8374","ENSG00000143924","EML4","EMAP like 4","protein_coding"
"8375","ENSG00000143933","CALM2","calmodulin 2","protein_coding"
"8376","ENSG00000143942","CHAC2","ChaC glutathione specific gamma-glutamylcyclotransferase 2","protein_coding"
"8377","ENSG00000143947","RPS27A","ribosomal protein S27a","protein_coding"
"8378","ENSG00000143951","WDPCP","WD repeat containing planar cell polarity effector","protein_coding"
"8379","ENSG00000143952","VPS54","VPS54 subunit of GARP complex","protein_coding"
"8380","ENSG00000143954","REG3G","regenerating family member 3 gamma","protein_coding"
"8381","ENSG00000143970","ASXL2","ASXL transcriptional regulator 2","protein_coding"
"8382","ENSG00000143971","ETAA1","ETAA1 activator of ATR kinase","protein_coding"
"8383","ENSG00000143977","SNRPG","small nuclear ribonucleoprotein polypeptide G","protein_coding"
"8384","ENSG00000143994","ABHD1","abhydrolase domain containing 1","protein_coding"
"8385","ENSG00000143995","MEIS1","Meis homeobox 1","protein_coding"
"8386","ENSG00000144010","TRIM43B","tripartite motif containing 43B","protein_coding"
"8387","ENSG00000144015","TRIM43","tripartite motif containing 43","protein_coding"
"8388","ENSG00000144021","CIAO1","cytosolic iron-sulfur assembly component 1","protein_coding"
"8389","ENSG00000144026","ZNF514","zinc finger protein 514","protein_coding"
"8390","ENSG00000144028","SNRNP200","small nuclear ribonucleoprotein U5 subunit 200","protein_coding"
"8391","ENSG00000144029","MRPS5","mitochondrial ribosomal protein S5","protein_coding"
